特赦1959,#genre#
第49集,http://hls.cntv.myalicdn.com/asp/hls/450/0303000a/3/default/42c4e93be64b4598b0ee49bcbb0e6c3f/450.m3u8
第50集,http://hls.cntv.myalicdn.com/asp/hls/450/0303000a/3/default/ffb1aa57bd0d4ce6a30270a7d27423d2/450.m3u8
破局1950,#genre#  
第01集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/782e32e4458f46db95453779bffb0fc0/1200.m3u8
第02集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/d5859de984cf4f71ae36d0b4225e4a23/1200.m3u8
第03集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/89ac5b231bdd4b2d8a71d218fe2de63b/1200.m3u8
第04集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e92f14224e154d8db3e91a0e37ff495a/1200.m3u8
第05集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e7c26a91e16b4dbc8223b7b970f3e396/1200.m3u8
第06集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/8058a5ded11d4c66975f46dbbe3039b6/1200.m3u8
第07集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e449d1442a9e4954822262084ec4f36d/1200.m3u8
第08集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/8c43a72cb1a4465e96d24347029f69f2/1200.m3u8
第09集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/284380bf33134401b35782c675b3a611/1200.m3u8
第10集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/4a898a43fe3b475083c962d9c7412d89/1200.m3u8
第11集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/aa68e589556f4f00812a4445d2f8480a/1200.m3u8
第12集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/0289376b6f3a4d03a24f70d8bf1a14aa/1200.m3u8
第13集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/ca33d5e1ec2d4229bb5f5025ad5bb5a0/1200.m3u8
第14集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/7ed2fcf7ecb14f69abd212b3acc22bd1/1200.m3u8
第15集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e394c5fb22a8499f816f678f0eed18ef/1200.m3u8
第16集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e3679ccaeb764943aa220fd44fa623dd/1200.m3u8
第17集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/c63c0afd9160498e83ec1564fd12db75/1200.m3u8
第18集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/00e090f913e34eb998fcddf59fcd2c04/1200.m3u8
第19集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/1cbdd737001d48c49df93dd5f3a714b8/1200.m3u8
第20集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/a45e3b99bf4f48bfb166fdb2cc1594f6/1200.m3u8
第21集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/97f9c18297fa42d3bc558d70d4724518/1200.m3u8
第22集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/1406895bd3b44c42ba647cea0be25174/1200.m3u8
第23集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/de76aa5dbf0d498098f732a2013be8ba/1200.m3u8
第24集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/139bad9b70f7475785340456d6ed0c82/1200.m3u8
第25集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/78d45b17e86047298e6a9c0469f4b6e5/1200.m3u8
第26集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/e9f08e649b62458d8a9209372836e8c6/1200.m3u8
第27集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/7cddfa3850da4ed582d474359a45f91b/1200.m3u8
第28集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/44e3de15677a4a68bc24ff06efcd4f2a/1200.m3u8
第29集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/b60612bfa8f34ac99b5dc7808e4bdc24/1200.m3u8
第30集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/cd0e17bd152d473ab354859228c94c32/1200.m3u8
第31集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/f743bb2ba0d74f2aa0246d60aa5d5bc1/1200.m3u8
第32集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/3e1441a7ba4b49509cb88f18d31a960c/1200.m3u8
第33集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/8a191c374baa42798f60cab8e76871f8/1200.m3u8
第34集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/4312b1e0313b49279e15d5c84be13b07/1200.m3u8
第35集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/d157f5f7aeec4fb4a9fa93d51516bf75/1200.m3u8
第36集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/a60ea552dc8c476eb8aa0239483c47eb/1200.m3u8
第37集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/9b875fcef6394442a5383b1ecce0b9d7/1200.m3u8
第38集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/45413f2a39074e5ebeb1e8e9f62070b6/1200.m3u8
第39集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/9890d0c73094474b8a85c94b12d83a93/1200.m3u8
第40集,http://hls.cntv.myalicdn.com/asp/hls/1200/0303000a/3/default/741bdefee94c4cb5b5bde69606b89c79/1200.m3u8
